GAME_TITLE,CONSOLE_NUM,DATE_FIRST_RELEASED,GAME_SERIES,ID,CUSTOM,CUSTOM_NAME,REMAKE_RMSTR_RRLSE,REMAKE_RMSTR_RRLSE NAME,REGION,DIRECT_SEQUEL
1942,54,198411,194X,00001,,,,,,
1942,01,198512,194X,00002,,,,,,
1942,10,200005,194X,00003,,,,,,
10-Yard Fight,01,198508,NES_SPORTS,00004,,,,,,
10-Yard Fight,54,198312,NES_SPORTS,00005,,,,,,
100 Classic Books,07,200710,NO_SERIES,00006,,,,,,
1080 Avalanche,04,200311,1080,00007,,,,,,
1080 Snowboarding,03,199802,1080,00008,,,,,,
1943: The Battle of Midway,54,198706,194X,00009,,,,,,
1943: The Battle of Midway,01,198810,194X,00010,,,,,,
3D After Burner II,11,,,00011,,,,,,
3D Altered Beast,11,,,00012,,,,,,
3D Classics: Excitebike,11,201106,EXCITE,00013,,,REMAKE,00534,,
3D Classics: Kid Icarus,11,201201,KID_ICARUS,00014,,,REMAKE,00736,,
3D Classics: Kirby's Adventure,11,20111,KIRBY,00015,,,REMAKE,00801,,
3D Classics: TwinBee,11,,,00016,,,,,,
3D Classics: Urban Champion,11,,,00017,,,,,,
3D Classics: Xevious,11,,,00018,,,,,,
3D Ecco the Dolphin,11,,,00019,,,,,,
3D Fantasy Zone,11,,,00020,,,,,,
3D Fantasy Zone II W,11,,,00021,,,,,,
3D Galaxy Force II,11,,,00022,,,,,,
3D Gunstar Heroes,11,,,00023,,,,,,
3D Out Run,11,,,00024,,,,,,
3D Power Drift,11,,,00025,,,,,,
3D Puyo Puyo Tsuu,11,,,00026,,,,,,
3D Shinobi III: Return of the Ninja Master,11,,,00027,,,,,,
3D Sonic the Hedgehog,11,,SONIC,00028,,,,,,
3D Sonic the Hedgehog 2,11,,SONIC,00029,,,,,,
3D Space Harrier,11,,,00030,,,,,,
3D Streets of Rage,11,,,00031,,,,,,
3D Streets of Rage 2,11,,,00032,,,,,,
3D Super Hang-On,11,,,00033,,,,,,
3D Tetris,06,,,00034,,,,,,
3D Thunder Blade,11,,,00035,,,,,,
A Boy and His Blob,05,200910,A_BOY_AND_HIS_BLOB,00036,,,,,,
A Boy and His Blob,32,201601,A_BOY_AND_HIS_BLOB,00037,,,,,,
A Boy and His Blob,15,201601,A_BOY_AND_HIS_BLOB,00038,,,,,,
A Boy and His Blob,40,201601,A_BOY_AND_HIS_BLOB,00039,,,,,,
A Boy and His Blob,20,201601,A_BOY_AND_HIS_BLOB,00040,,,,,,
A Boy and His Blob,14,201606,A_BOY_AND_HIS_BLOB,00041,,,,,,
A Boy and His Blob,17,202111,A_BOY_AND_HIS_BLOB,00042,,,,,,
A Boy and His Blob: Trouble on Blobolonia,01,198912,A_BOY_AND_HIS_BLOB,00043,,,,,,
Ace Attorney Investigations 2,07,,ACE_ATTORNEY,00044,,,,,,
Ace Attorney Investigations: Miles Edgeworth,07,,ACE_ATTORNEY,00045,,,,,,
Ace Combat 2,12,,,00046,,,,,,
Ace Combat 3: Electrosphere,12,,,00047,,,,,,
Ace Combat: Assault Horizon Legacy,11,,,00048,,,,,,
ActRaiser,02,,,00049,,,,,,
ActRaiser 2,02,,,00050,,,,,,
Advance Wars,08,,WARS,00051,,,,,,
Advance Wars 1+2: Re-Boot Camp,17,,WARS,00052,,,,,,
