Title of Game,System,Date (First Released),Series,Version,Regions,Direct Sequel,Developer,Publisher,Genre,Alternative Names,Steam ID,Tags,null_2,null_3,null_4,null_5,null_6,null_7,null_8,null_9,null_10,null_11,null_12,null_13,null_14,null_15,null_16,null_17,null_18,null_19,null_20,null_21,null_22,null_23,null_24,null_25,null_26,null_27,null_28,null_29,null_30,null_31,null_32,null_33,null_34,null_35,null_36,null_37,null_38
1942,arc,19841130,194X,,jp-na-eu,,Capcom,Capcom,Vertical Shooter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,gbc,200005??,194X,Port,na-eu,,Capcom,Capcom,Vertical Shooter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,nes,19851211,194X,Port,jp-na,,Capcom,Capcom,Vertical Shooter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100 Classic Books,ds,20071007,,,ww,,Genius Sonority,Nintendo,Educational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080 Avalanche,gcn,20031128,TenEighty,,jp-na-eu,,Nintendo ST,Nintendo,Snowboarding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080 Snowboarding,n64,19980228,TenEighty,,jp-na-eu,,Nintendo EAD,Nintendo,Snowboarding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Yard Fight,arc,19831205,NES Sports,,jp-na-eu,,Irem,Irem,Football,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Yard Fight,nes,19850830,NES Sports,Port,jp-na-eu,,Irem,Nintendo,Football,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-2-Switch,swi,20170303,,,ww,,Nintendo EPD,Nintendo,Party,1-2 Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943: The Battle of Midway,arc,198706??,194X,,jp-na-eu,,Capcom,Capcom,Vertical Shooter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943: The Battle of Midway,nes,19880620,194X,Port,jp-na,,Capcom,Capcom,Vertical Shooter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20XX,ps4,20161012,,,ww,,Batterystaple Games/Fire Hose Games,Batterystaple Games,Platformer (2D),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20XX,swi,20161012,,,ww,,Batterystaple Games/Fire Hose Games,Batterystaple Games,Platformer (2D),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20XX,win,20161012,,,ww,,Batterystaple Games/Fire Hose Games,Batterystaple Games,Platformer (2D),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20XX,xb1,20161012,,,ww,,Batterystaple Games/Fire Hose Games,Batterystaple Games,Platformer (2D),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3D After Burner II,3ds,20131218,After Burner/Sega 3D Classics,Remake,ww,,M2,Sega,Rail Shooter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3D Altered Beast,3ds,20130529,Sega 3D Classics,Remake,ww,,M2,Sega,Beat em up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3D Classics: Excitebike,3ds,20110606,Excitebike/3D Classics,Remake,ww,,Arika,Nintendo,Racing (Motorcycle),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3D Classics: Kid Icarus,3ds,20120118,Kid Icarus/3D Classics,Remake,ww,,Arika,Nintendo,Platformer (2D),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3D Classics: Kirby's Adventure,3ds,20111117,Kirby/3D Classics,Remake,ww,,Arika,Nintendo,Platformer (2D),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3D Classics: TwinBee,3ds,20110810,TwinBee/3D Classics,Remake,ww,,Arika,Nintendo,Vertical Shooter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3D Classics: Urban Champion,3ds,20110713,Urban Champion/3D Classics,Remake,ww,,Arika,Nintendo,Fighting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3D Classics: Xevious,3ds,20110607,Xevious/3D Classics,Remake,ww,,Arika,Nintendo,Vertical Shooter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
